,Geomydoecus ewingi ,Geomydoecus texanus ,Geomydoecus actuosi ,Geomydoecus chapini ,Geomydoecus trichopi ,Geomydoecus thomomyus ,Geomydoecus geomydis ,Geomydoecus oklahomensis ,Geomydoecus expansus ,Thomomydoecus barbarae ,Thomomydoecus minor ,Geomydoecus perotensis ,Geomydoecus nadleri ,Geomydoecus cherriei ,Geomydoecus costaricensis ,Geomydoecus panamensis ,Geomydoecus setzeri 
Orthogeomys cherriei,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Orthogeomys heterodus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Orthogeomys underwoodi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Orthogeomys hispidus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthogeomys cavator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pappogeomys bulleri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zygogeomys trichopus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cratogeomys castanops,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cratogeomys merriami,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thomomys bottae,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Thomomys talpoides,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Geomys personatus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geomys breviceps,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geomys bursarius (a),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Geomys bursarius (b),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
